nombre,nif,dir,localidad,cp,matriculas
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
VALERIA SEGURA CORRAL,48647581M, ENPARANTZA MAYOR 75, SEGOVIA, 40988,7310EVQ
GERARDO VELEZ CHAMORRO,35233585T,PRAZA HORNO 0,CUENCA, 16293,6221UZL
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
VALERIA SEGURA CORRAL,48647581M, ENPARANTZA MAYOR 75, SEGOVIA, 40988,7310EVQ
GERARDO VELEZ CHAMORRO,35233585T,PRAZA HORNO 0,CUENCA, 16293,6221UZL
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
VALERIA SEGURA CORRAL,48647581M, ENPARANTZA MAYOR 75, SEGOVIA, 40988,7310EVQ
GERARDO VELEZ CHAMORRO,35233585T,PRAZA HORNO 0,CUENCA, 16293,6221UZL
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
VALERIA SEGURA CORRAL,48647581M, ENPARANTZA MAYOR 75, SEGOVIA, 40988,7310EVQ
GERARDO VELEZ CHAMORRO,35233585T,PRAZA HORNO 0,CUENCA, 16293,6221UZL
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
VALERIA SEGURA CORRAL,48647581M, ENPARANTZA MAYOR 75, SEGOVIA, 40988,7310EVQ
GERARDO VELEZ CHAMORRO,35233585T,PRAZA HORNO 0,CUENCA, 16293,6221UZL
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
VALERIA SEGURA CORRAL,48647581M, ENPARANTZA MAYOR 75, SEGOVIA, 40988,7310EVQ
GERARDO VELEZ CHAMORRO,35233585T,PRAZA HORNO 0,CUENCA, 16293,6221UZL
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
VALERIA SEGURA CORRAL,48647581M, ENPARANTZA MAYOR 75, SEGOVIA, 40988,7310EVQ
GERARDO VELEZ CHAMORRO,35233585T,PRAZA HORNO 0,CUENCA, 16293,6221UZL
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
VALERIA SEGURA CORRAL,48647581M, ENPARANTZA MAYOR 75, SEGOVIA, 40988,7310EVQ
GERARDO VELEZ CHAMORRO,35233585T,PRAZA HORNO 0,CUENCA, 16293,6221UZL
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
VALERIA SEGURA CORRAL,48647581M, ENPARANTZA MAYOR 75, SEGOVIA, 40988,7310EVQ
GERARDO VELEZ CHAMORRO,35233585T,PRAZA HORNO 0,CUENCA, 16293,6221UZL
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
VALERIA SEGURA CORRAL,48647581M, ENPARANTZA MAYOR 75, SEGOVIA, 40988,7310EVQ
GERARDO VELEZ CHAMORRO,35233585T,PRAZA HORNO 0,CUENCA, 16293,6221UZL
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
VALERIA SEGURA CORRAL,48647581M, ENPARANTZA MAYOR 75, SEGOVIA, 40988,7310EVQ
GERARDO VELEZ CHAMORRO,35233585T,PRAZA HORNO 0,CUENCA, 16293,6221UZL
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
VALERIA SEGURA CORRAL,48647581M, ENPARANTZA MAYOR 75, SEGOVIA, 40988,7310EVQ
GERARDO VELEZ CHAMORRO,35233585T,PRAZA HORNO 0,CUENCA, 16293,6221UZL
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
VALERIA SEGURA CORRAL,48647581M, ENPARANTZA MAYOR 75, SEGOVIA, 40988,7310EVQ
GERARDO VELEZ CHAMORRO,35233585T,PRAZA HORNO 0,CUENCA, 16293,6221UZL
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
VALERIA SEGURA CORRAL,48647581M, ENPARANTZA MAYOR 75, SEGOVIA, 40988,7310EVQ
GERARDO VELEZ CHAMORRO,35233585T,PRAZA HORNO 0,CUENCA, 16293,6221UZL
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
VALERIA SEGURA CORRAL,48647581M, ENPARANTZA MAYOR 75, SEGOVIA, 40988,7310EVQ
GERARDO VELEZ CHAMORRO,35233585T,PRAZA HORNO 0,CUENCA, 16293,6221UZL
Anonymous1,24314787S,CARRER MADRID 66, PALENCIA, 34321,9819AYY
